,Species,Model,Input to model,animal_id,train_set_dur,mean_seg_err,median_seg_err,std_seg_err
200,Canaries,TweetyNet,spectrogram,llb11,420,9.209683173138178,9.031055429457071,1.5054384574610182
201,Canaries,TweetyNet,spectrogram,llb11,480,7.2808647096110475,6.6559974335456005,1.6390500239651475
202,Canaries,TweetyNet,spectrogram,llb11,540,7.011737504455884,6.53814355335048,1.6294233287029418
203,Canaries,TweetyNet,spectrogram,llb11,600,6.673748140918067,6.25894227946241,0.9787184373130181
204,Canaries,TweetyNet,spectrogram,llb11,660,6.282787480115677,5.53082309636639,2.053996108660634
205,Canaries,TweetyNet,spectrogram,llb16,190,8.073460239474143,7.82894042895774,0.63070518506803
206,Canaries,TweetyNet,spectrogram,llb16,240,6.872140138605703,6.5102890050673405,0.958736695253925
207,Canaries,TweetyNet,spectrogram,llb16,300,6.33135812854899,5.81076341808274,1.4003751911586437
208,Canaries,TweetyNet,spectrogram,llb16,360,6.457077729860376,6.21401595054789,0.7571809098250128
209,Canaries,TweetyNet,spectrogram,llb16,420,6.697930414126623,6.26211059426986,1.8105677881493185
210,Canaries,TweetyNet,spectrogram,llb16,480,6.9085350852249325,6.61319719561361,1.5662070220327722
211,Canaries,TweetyNet,spectrogram,llb16,540,6.027810950667553,6.0535099768373,0.8999589946253062
212,Canaries,TweetyNet,spectrogram,llb16,600,5.470700517299086,5.0132031943433795,1.0356602391120127
213,Canaries,TweetyNet,spectrogram,llb16,660,5.452442499692251,5.09673431925407,1.3038433712066186
214,Canaries,TweetyNet,spectrogram,llb3,120,8.487500951425263,8.75840088811467,1.736530718882379
215,Canaries,TweetyNet,spectrogram,llb3,180,6.729289754271953,6.97143934378809,1.0532553247289427
216,Canaries,TweetyNet,spectrogram,llb3,240,6.023523505463389,5.63277985497849,1.5959437453960426
217,Canaries,TweetyNet,spectrogram,llb3,300,5.254908289908547,5.07017595412241,1.200886281940297
218,Canaries,TweetyNet,spectrogram,llb3,360,5.1160069932394325,5.000214976836189,0.9238823527436695
219,Canaries,TweetyNet,spectrogram,llb3,420,4.835591059527501,4.99938387763126,0.7159459260162833
220,Canaries,TweetyNet,spectrogram,llb3,480,4.102463714477393,3.94484645801738,0.663779496526365
221,Canaries,TweetyNet,spectrogram,llb3,540,4.520996979544116,4.70425633466795,0.5958356861655731
222,Canaries,TweetyNet,spectrogram,llb3,600,4.169370190984198,4.26760280516263,0.8552939366671438
223,Canaries,TweetyNet,spectrogram,llb3,660,3.7860738201047988,3.5391934934401403,0.6855459284005115
